Station Code,Water Quality,Locations,State/ UT Name,TEMPERATURE (degree Centigrade)-Minimum,TEMPERATURE (degree Centigrade)-Maximum,TEMPERATURE (degree Centigrade)-Mean,Dissolved Oxygen(D.O.) (mg/l)-Minimum,Dissolved Oxygen(D.O.) (mg/l)-Maximum,Dissolved Oxygen(D.O.) (mg/l)-Mean,pH-Minimum,pH-Maximum,pH-Mean,CONDUCTIVITY (µmhos/cm)-Minimum,CONDUCTIVITY (µmhos/cm)-Maximum,CONDUCTIVITY (µmhos/cm)-Mean,Biochemical oxygen demand (B.O.D.) (mg/l)-Minimum,Biochemical oxygen demand (B.O.D.) (mg/l)-Maximum,Biochemical oxygen demand (B.O.D.) (mg/l)-Mean,NITRATE- N (mg/l)-Minimum,NITRATE- N (mg/l)-Maximum,NITRATE- N (mg/l)-Mean,NITRITE-N (mg/l)-Minimum,NITRITE-N (mg/l)-Maximum,NITRITE-N (mg/l)-Mean,FECAL COLIFORM (MPN/100ml)-Minimum,FECAL COLIFORM (MPN/100ml)-Maximum,FECAL COLIFORM (MPN/100ml)-Mean,TOTAL COLIFORM (MPN/100ml)-Minimum,TOTAL COLIFORM (MPN/100ml)-Maximum,TOTAL COLIFORM (MPN/100ml)-Mean
2247,GROUND WATER QUALITY OF Assam,GROUND WATER FROM SILAPATHAR,Assam,17,23,20,NA,NA,NA,6.5,6.7,6.6,111,121,116,0.4,4.6,2.5,0.1,0.1,0.1,NA,NA,NA,0,0,0,1,1,1
2248,GROUND WATER QUALITY OF Assam,GROUND WATER FROM LAKHIMPURTOWN,Assam,17,23,20,NA,NA,NA,6.9,7.2,7.1,330,369,350,1.5,1.5,1.5,0.1,11.8,5.95,NA,NA,NA,0,0,0,1,1,1
2249,GROUND WATER QUALITY OF Assam,GROUND WATER FROM TEZPUR(MISSION CHARIALI),Assam,23,24,24,NA,NA,NA,6.8,7.5,7.2,120,136,128,0.7,1.3,1,0.1,0.6,0.35,NA,NA,NA,0,0,0,1,1,1
2250,GROUND WATER QUALITY OF Assam,GROUND WATER FROM NAGAON(PANIGAON),Assam,27,28,27,NA,NA,NA,6.5,7.2,6.9,410,503,457,1.8,2.3,2.1,0.1,0.1,0.1,NA,NA,NA,0,0,0,1,360,181
2251,GROUND WATER QUALITY OF Assam,GROUND WATER FROM JAGIROAD NRHPC EFFLUENT DISCHARGE POINT,Assam,25,28,27,NA,NA,NA,6.7,7.1,6.9,2350,2810,2580,0.8,3,1.9,0.1,1.4,0.75,NA,NA,NA,0,360,180,1,910,456
2252,GROUND WATER QUALITY OF Assam,GROUND WATER NR MSW DUMPING SITE AT GARCHUK-GUWAHATI,Assam,25,28,26,NA,NA,NA,6.5,7.1,6.8,280,2810,1545,0.7,3,1.9,0.1,1.5,0.8,NA,NA,NA,360,360,360,910,910,910
2253,GROUND WATER QUALITY OF Assam,GROUND WATER FROM NALBARI,Assam,20,26,23,NA,NA,NA,7.5,7.7,7.6,240,264,252,2.2,2.9,2.6,0.1,0.1,0.1,NA,NA,NA,0,0,0,1,1,1
2254,GROUND WATER QUALITY OF Assam,GROUND WATER FROM BARPETA ROAD(RLY STATION),Assam,25,27,26,NA,NA,NA,7.1,8.2,7.7,435,455,445,0.6,0.6,0.6,0.1,0.3,0.2,NA,NA,NA,0,730,365,1,1500,751
2255,GROUND WATER QUALITY OF Assam,GROUND WATER NEAR BPRL-DHALIGAON,Assam,25,29,27,NA,NA,NA,5.8,7.5,6.7,125,133,129,0.6,2.8,1.7,0.4,1.3,0.85,NA,NA,NA,0,0,0,1,300,151
2256,GROUND WATER QUALITY OF Assam,GROUND WATER FROM KOKRAJHAR DISTRICT (HS SCHOOL ),Assam,27,29,28,NA,NA,NA,6.1,7.9,7,450,482,466,0.9,1.5,1.2,0.1,0.1,0.1,NA,NA,NA,0,0,0,1,1,1
2257,GROUND WATER QUALITY OF Assam,GROUND WATER FROM DHUBRIDISTRICT (COLLEGE NAGAR ),Assam,28,30,29,NA,NA,NA,6.3,6.7,6.5,410,427,419,0.4,0.8,0.6,0.1,0.1,0.1,NA,NA,NA,0,0,0,1,1,1
